央视,#genre#
CCTV-1,http://tvpull.dxhmt.cn/tv/11481-4.m3u8
CCTV-1,http://60.255.120.30:89/live2/live2.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1,http://222.81.86.42:8060/hls/ch3/ch3.m3u8
CCTV-1,https://zb.pzhgd.com:444/live/cctv1.m3u8

CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV-2,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8

CCTV-3,http://111.20.35.103:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-3,http://183.196.25.171:808/hls/75/index.m3u8

CCTV-4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4,http://111.20.35.103:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

CCTV-5,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5,http://111.20.35.103:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5,http://183.196.25.171:808/hls/78/index.m3u8

CCTV-5+,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8

CCTV-6,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV-6,http://183.196.25.171:808/hls/76/index.m3u8

CCTV-7,http://183.196.25.171:808/hls/7/index.m3u8

CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-8,http://183.196.25.171:808/hls/77/index.m3u8

CCTV-9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-9,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-9,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8

CCTV-10,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-10,http://111.20.35.103:6610/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

CCTV-11,http://183.196.25.171:808/hls/11/index.m3u8

CCTV-12,http://223.95.111.98:5555/newlive/live/hls/12/live.m3u8
CCTV-12,http://183.196.25.171:808/hls/12/index.m3u8

CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13,http://183.196.25.171:808/hls/13/index.m3u8

CCTV-14,http://111.20.35.103:6610/yinhe/2/ch00000090990000001292/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

CCTV-15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-15,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-15,http://183.196.25.171:808/hls/15/index.m3u8

CCTV-16,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-16,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8

CCTV-17,http://222.175.159.226:808/hls/202318/index.m3u8

CCTV-怀旧剧场,https://live.metshop.top/msp.php?id=hjjc
CCTV-文化精品,https://live.metshop.top/msp.php?id=whjp
CCTV-移动传媒,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
CCTV-风云音乐,https://live.metshop.top/msp.php?id=fyyy

BesTV-央视,#genre#
CCTV-1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV-2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV-3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV-4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV-5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV-5+,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV-5+,https://live.goodiptv.club/api/bestv.php?id=cctv5hd8m/8000000
CCTV-6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV-6,https://live.goodiptv.club/api/bestv.php?id=cctv68m/8000000
CCTV-7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV-8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV-8,https://live.goodiptv.club/api/bestv.php?id=cctv88m/8000000
CCTV-9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV-10,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV-11,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV-12,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV-13,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV-14,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV-15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV-16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV-16,https://live.goodiptv.club/api/bestv.php?id=cctv168m/8000000
CCTV-17,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000
CCTV-4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000

BesTV-卫视,#genre#
东南卫视,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
东方卫视,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
云南卫视,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000
北京卫视,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
吉林卫视,https://live.goodiptv.club/api/bestv.php?id=jlwshd8m/8000000
四川卫视,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000
天津卫视,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000
安徽卫视,https://live.goodiptv.club/api/bestv.php?id=ahws8m/8000000
广东卫视,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
广西卫视,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
江苏卫视,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
河北卫视,https://live.goodiptv.club/api/bestv.php?id=hbwshd8m/8000000
河南卫视,https://live.goodiptv.club/api/bestv.php?id=hnwshd8m/8000000
浙江卫视,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
深圳卫视,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
湖南卫视,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
贵州卫视,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000
黑龙江卫视,https://live.goodiptv.club/api/bestv.php?id=hljws8m/8000000
陕西卫视,https://live.goodiptv.club/api/bestv.php?id=sxws/1300000
青海卫视,https://live.goodiptv.club/api/bestv.php?id=qhws/1300000
西藏卫视,https://live.goodiptv.club/api/bestv.php?id=xzws/2500000
厦门卫视,https://live.goodiptv.club/api/bestv.php?id=xmws/1300000
三沙卫视,https://live.goodiptv.club/api/bestv.php?id=sswshd8m/8000000
CETV1,https://live.goodiptv.club/api/bestv.php?id=zgjy1t8m/8000000
CETV4,https://live.goodiptv.club/api/bestv.php?id=zgjy4hd8m/8000000

BesTV-其它,#genre#
上海教育,https://live.goodiptv.club/api/bestv.php?id=setvhd/8000000
上海新闻,https://live.goodiptv.club/api/bestv.php?id=xwzhhd8m/8000000
上海纪实,https://live.goodiptv.club/api/bestv.php?id=jspdhd/4000000
东方影视,https://live.goodiptv.club/api/bestv.php?id=dfyshd8m/8000000
东方财经,https://live.goodiptv.club/api/bestv.php?id=dfcjhd8m/8000000
健康养生,https://live.goodiptv.club/api/bestv.php?id=jkys8m/8000000
华语影院,https://live.goodiptv.club/api/bestv.php?id=hyyy8m/8000000
快乐垂钓,https://live.goodiptv.club/api/bestv.php?id=klcd8m/8000000
欢笑剧场4k,https://live.goodiptv.club/api/bestv.php?id=hxjc4k/15000000
法治天地,https://live.goodiptv.club/api/bestv.php?id=fztd8m/8000000
热门综艺,https://live.goodiptv.club/api/bestv.php?id=rmzy8m/8000000
生活时尚,https://live.goodiptv.club/api/bestv.php?id=shss8m/8000000
百变课堂,https://live.goodiptv.club/api/bestv.php?id=bbkt8m/8000000
看天下精选,https://live.goodiptv.club/api/bestv.php?id=ktxjx8m/8000000
福建新闻,https://live.goodiptv.club/api/bestv.php?id=fjxwhd8m/8000000
纪实科教,https://live.goodiptv.club/api/bestv.php?id=dajs8m/8000000
茶频道,https://live.goodiptv.club/api/bestv.php?id=cpdhdavs8m/8000000
谍战剧场,https://live.goodiptv.club/api/bestv.php?id=dzjc8m/8000000
青春动漫,https://live.goodiptv.club/api/bestv.php?id=qcdm8m/8000000

BesTV-少儿,#genre#
卡酷少儿,https://live.goodiptv.club/api/bestv.php?id=kkse8m/8000000
炫动卡通,https://live.goodiptv.club/api/bestv.php?id=hhxd8m/8000000

CGTN,#genre#
CGTN,http://live.cgtn.com/500/prog_index.m3u8?zshijd
CGTN-Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
CGTN-Europe,https://live.cgtn.com/1000/prog_index.m3u8
CGTN-俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN-俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN-拉丁美洲,http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN-法语,http://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN-法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN-法语,https://livefr.cgtn.com/1000f/prog_index.m3u8?zshijd
CGTN-纪录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN-美国,http://live.cgtn.com/1000/prog_index.m3u8?zshijd
CGTN-英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-英语,http://live.cgtn.com/500/prog_index.m3u8
CGTN-西班牙语,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN-西班牙语,http://livees.cgtn.com/500e/prog_index.m3u8
CGTN-西班牙语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN-西班牙语,https://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN-阿拉伯语,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN-阿拉伯语,http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
CGTN-阿拉伯语,https://livear.cgtn.com/1000a/prog_index.m3u8

香港,#genre#
香港電台(RTHK 34),https://livedoc.cgtn.com/1000d/prog_index.m3u8

历年春晚,#genre#
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
